iter	Accuracy	MultiClass
344	0.9474725063	0.2105532482
345	0.948003087	0.2101629435
346	0.9480995562	0.2099659541
347	0.9483407293	0.2091756648
348	0.948630137	0.2087439085
349	0.9485819024	0.2081948394
350	0.9485336678	0.2077263183
351	0.9487266062	0.2073736027
352	0.9487266062	0.2068897728
353	0.9489677793	0.2064712292
354	0.9489677793	0.2062394769
355	0.9490160139	0.2057934481
356	0.9490160139	0.2053650362
357	0.9488713101	0.2049529223
358	0.9493054216	0.2045976159
359	0.9494501254	0.2039317051
360	0.9495948292	0.203250344
361	0.9494501254	0.2027349779
362	0.9497395331	0.2025171214
363	0.9499324715	0.2021334819
364	0.9498842369	0.2016135703
365	0.9502218792	0.2010318816
366	0.9504630523	0.2006562027
367	0.9503665831	0.2004723082
368	0.9505595215	0.2001063564
369	0.9506559907	0.1996842093
370	0.9506559907	0.1993264536
371	0.9508971638	0.1986918434
372	0.950993633	0.1983006202
373	0.950993633	0.1977534588
374	0.9515242138	0.1974243305
375	0.951620683	0.1971949806
376	0.9515242138	0.1966854672
377	0.9518618561	0.1964103556
378	0.9523442022	0.1960070031
379	0.9521512637	0.19575973
380	0.9520065599	0.1951473176
381	0.9523442022	0.1948177537
382	0.952247733	0.1943072982
383	0.9523924368	0.1940056788
384	0.9523442022	0.1934266632
385	0.9527300791	0.1930296109
386	0.9527300791	0.1928352475
387	0.9526818445	0.1926041665
388	0.953115956	0.1922694093
389	0.9529712522	0.192042815
390	0.9527783137	0.1917624866
391	0.9528265483	0.1914075925
392	0.9527783137	0.1908674143
393	0.9527783137	0.1905771469
394	0.9529230176	0.190184805
395	0.9528747829	0.1899877096
396	0.9528265483	0.1898079132
397	0.9532124252	0.1893847887
398	0.9531641906	0.1892101149
399	0.9538394752	0.1887358824
400	0.9538394752	0.1885359372
401	0.9542735867	0.1880453832
402	0.9541288829	0.1877064102
403	0.954370056	0.1874905674
404	0.9547076982	0.1870502852
405	0.9548524021	0.1866429406
406	0.9549006367	0.1862299082
407	0.9548524021	0.1857864583
408	0.9545629944	0.1852842107
409	0.9547076982	0.1849892683
410	0.9547559329	0.184640533
411	0.9549006367	0.1842880646
412	0.9552865136	0.1840263189
413	0.9553347482	0.1837132531
414	0.955865329	0.1831794458
415	0.9557206251	0.1826773277
416	0.9559135636	0.1825234032
417	0.9560582674	0.1821979727
418	0.9557688597	0.1818272279
419	0.956106502	0.1815172947
420	0.9560100328	0.1813461065
421	0.9559135636	0.1810615035
422	0.9560582674	0.1808011472
423	0.9558170943	0.1805681585
424	0.955865329	0.1800434658
425	0.955865329	0.1799133289
426	0.9560100328	0.1798461113
427	0.9557688597	0.1794564661
428	0.9559135636	0.1789657472
429	0.9560582674	0.1785606636
430	0.9562994405	0.1782774737
431	0.9562512059	0.1780018557
432	0.9563959097	0.1776610103
433	0.9562512059	0.1774803661
434	0.9563476751	0.1772679265
435	0.9565888482	0.1767354145
436	0.9566370828	0.1763764694
437	0.9566853174	0.1759949731
438	0.9568300212	0.1755421731
439	0.9571194289	0.1752366911
440	0.957360602	0.1750795282
441	0.9576500096	0.1748590928
442	0.9577947135	0.1746038473
443	0.9577464789	0.1743672787
444	0.9576500096	0.1742398032
445	0.9580841212	0.1738010166
446	0.9580358866	0.1734563322
447	0.9581323558	0.1733041271
448	0.958228825	0.172705104
449	0.9581805904	0.1723005621
450	0.9584217635	0.171968325
451	0.9585664673	0.1717441683
452	0.9586147019	0.1714747092
453	0.9587111711	0.1712629409
454	0.958855875	0.1709811523
455	0.9587594057	0.1708187256
456	0.9590488134	0.1702767692
457	0.9590005788	0.1700595721
458	0.9594829249	0.169658563
459	0.9594829249	0.1694975258
460	0.9595793942	0.1693228166
461	0.9595793942	0.1690885326
462	0.9597723326	0.1686295972
463	0.9597723326	0.1685111421
464	0.959724098	0.1679544539
465	0.9596276288	0.167408423
466	0.9598205672	0.1671846785
467	0.9600617403	0.1668210818
468	0.9602064441	0.1664777164
469	0.9604958518	0.1662348829
470	0.9604476172	0.1657135463
471	0.9605440864	0.1655246706
472	0.9607852595	0.1652150788
473	0.9606405557	0.1650101641
474	0.9607370249	0.1648217594
475	0.9606887903	0.1644612834
476	0.9610746672	0.1639826468
477	0.9610746672	0.163696501
478	0.9617017172	0.1630463583
479	0.9619428902	0.1628720142
480	0.9619911248	0.1627476711
481	0.9620875941	0.1624906239
482	0.961846421	0.1623713328
483	0.9618946556	0.16204297
484	0.9618946556	0.1615931492
485	0.9618946556	0.1614314644
486	0.9621358287	0.1612474639
487	0.9620875941	0.1611436464
488	0.9622322979	0.1608890605
489	0.9624252363	0.1605556929
490	0.962473471	0.1604060431
491	0.962473471	0.1601422247
492	0.9624252363	0.1598081035
493	0.9625217056	0.1596579827
494	0.962473471	0.1593365795
495	0.9625217056	0.1592424066
496	0.962714644	0.1589552128
497	0.9625699402	0.1587367675
498	0.9625699402	0.1586407929
499	0.9630040517	0.158254916
500	0.9632452248	0.1580015194
501	0.9632934594	0.1576837433
502	0.9632934594	0.1574771564
503	0.9635828671	0.1572823809
504	0.9633899286	0.1569086922
505	0.963341694	0.1564740743
506	0.9634381632	0.1562854341
507	0.9634381632	0.1559971687
508	0.9636793363	0.1556818773
509	0.9638722747	0.1555484078
510	0.9640169786	0.1554331558
